,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2000-01-14,0.026595744680851064,0.10904255319148937,0.07180851063829788,0.05319148936170213,0.13031914893617022,0.13297872340425532,0.15159574468085107,0.13031914893617022,0.05319148936170213,0.07180851063829788,0.06914893617021277
2000-01-21,0.026595744680851064,0.10904255319148937,0.07180851063829788,0.05319148936170213,0.13031914893617022,0.13297872340425532,0.15159574468085107,0.13031914893617022,0.05319148936170213,0.07180851063829788,0.06914893617021277
2000-01-28,0.026595744680851064,0.10904255319148937,0.07180851063829788,0.05319148936170213,0.13031914893617022,0.13297872340425532,0.15159574468085107,0.13031914893617022,0.05319148936170213,0.07180851063829788,0.06914893617021277
2000-02-04,0.026525198938992044,0.10875331564986737,0.07161803713527852,0.05305039787798409,0.129973474801061,0.13262599469496023,0.15119363395225463,0.129973474801061,0.05570291777188329,0.07161803713527852,0.06896551724137931
2000-02-11,0.026525198938992044,0.10875331564986737,0.07161803713527852,0.05305039787798409,0.129973474801061,0.13262599469496023,0.15119363395225463,0.129973474801061,0.05570291777188329,0.07161803713527852,0.06896551724137931
2000-02-18,0.026525198938992044,0.10875331564986737,0.07161803713527852,0.05305039787798409,0.129973474801061,0.13262599469496023,0.15119363395225463,0.129973474801061,0.05570291777188329,0.07161803713527852,0.06896551724137931
2000-02-25,0.026525198938992044,0.10875331564986737,0.07161803713527852,0.05305039787798409,0.129973474801061,0.13262599469496023,0.15119363395225463,0.129973474801061,0.05570291777188329,0.07161803713527852,0.06896551724137931
2000-03-03,0.026525198938992044,0.10875331564986737,0.07161803713527852,0.05305039787798409,0.129973474801061,0.13262599469496023,0.15119363395225463,0.129973474801061,0.05570291777188329,0.07161803713527852,0.06896551724137931
2000-03-10,0.026525198938992044,0.10875331564986737,0.07161803713527852,0.05305039787798409,0.129973474801061,0.13262599469496023,0.15119363395225463,0.129973474801061,0.05570291777188329,0.07161803713527852,0.06896551724137931
2000-03-17,0.026525198938992044,0.10875331564986737,0.07161803713527852,0.05305039787798409,0.129973474801061,0.13262599469496023,0.15119363395225463,0.129973474801061,0.05570291777188329,0.07161803713527852,0.06896551724137931
2000-03-24,0.026525198938992044,0.10875331564986737,0.07161803713527852,0.05305039787798409,0.129973474801061,0.13262599469496023,0.15119363395225463,0.129973474801061,0.05570291777188329,0.07161803713527852,0.06896551724137931
2000-03-31,0.026525198938992044,0.10875331564986737,0.07161803713527852,0.05305039787798409,0.129973474801061,0.13262599469496023,0.15119363395225463,0.129973474801061,0.05570291777188329,0.07161803713527852,0.06896551724137931
