,,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2000-01-14,Communication Services,,,,,,,,,,,
2000-01-14,Consumer Discretionary,,,,,,,,,,,
2000-01-14,Consumer Staples,,,,,,,,,,,
2000-01-14,Energy,,,,,,,,,,,
2000-01-14,Financials,,,,,,,,,,,
2000-01-14,Health Care,,,,,,,,,,,
2000-01-14,Industrials,,,,,,,,,,,
2000-01-14,Information Technology,,,,,,,,,,,
2000-01-14,Materials,,,,,,,,,,,
2000-01-14,Real Estate,,,,,,,,,,,
2000-01-14,Utilities,,,,,,,,,,,
2000-01-21,Communication Services,0.0026276669092606623,0.0010757201353183649,0.0008975302292241646,-0.0027607780710745293,0.0028896601354130385,0.0012759847609286681,0.0008492782593579023,0.0008697276360069762,0.0021236494756435628,5.7501188852521644e-05,-0.0008730862851394126
2000-01-21,Consumer Discretionary,0.0010757201353183649,0.0004403807063411059,0.0003674329254711354,-0.0011302134793925902,0.0011829755061174084,0.0005223654850821875,0.00034767942651318793,0.0003560510378991635,0.0008693843550934833,2.353996483930508e-05,-0.00035742600916606893
2000-01-21,Consumer Staples,0.0008975302292241646,0.0003674329254711354,0.00030656873195462946,-0.0009429969096295249,0.0009870190603598749,0.00043583716449246593,0.00029008734254337823,0.00029707222089559625,0.0007253733697938296,1.9640638251971902e-05,-0.00029821943217838695
2000-01-21,Energy,-0.0027607780710745293,-0.0011302134793925902,-0.0009429969096295249,0.002900632317918311,-0.00303604323157962,-0.001340623019828764,-0.0008923006132978077,-0.0009137859052200596,-0.002231228350268833,-6.041405807002508e-05,0.0009173146952811534
2000-01-21,Financials,0.0028896601354130385,0.0011829755061174084,0.0009870190603598749,-0.00303604323157962,0.003177775565375884,0.0014032076455563975,0.0009339560966766579,0.0009564443916308693,0.002335389318079378,6.323438202170761e-05,-0.0009601379170440931
2000-01-21,Health Care,0.0012759847609286681,0.0005223654850821875,0.00043583716449246593,-0.001340623019828764,0.0014032076455563975,0.0006196132030221038,0.0004124061968849834,0.00042233633410395483,0.0010312358689472457,2.7922352126336703e-05,-0.0004239672809698576
2000-01-21,Industrials,0.0008492782593579023,0.00034767942651318793,0.00029008734254337823,-0.0008923006132978077,0.0009339560966766579,0.0004124061968849834,0.00027449200630262936,0.00028110137179879354,0.0006863766955410459,1.8584741242344143e-05,-0.00028218690805110043
2000-01-21,Information Technology,0.0008697276360069762,0.0003560510378991635,0.00029707222089559625,-0.0009137859052200596,0.0009564443916308693,0.00042233633410395483,0.00028110137179879354,0.00028786988113615824,0.0007029036411158419,1.9032234592612653e-05,-0.0002889815555115657
2000-01-21,Materials,0.0021236494756435628,0.0008693843550934833,0.0007253733697938296,-0.002231228350268833,0.002335389318079378,0.0010312358689472457,0.0006863766955410459,0.0007029036411158419,0.0017163085166948002,4.647178419958007e-05,-0.0007056180618226035
2000-01-21,Real Estate,5.7501188852521644e-05,2.353996483930508e-05,1.9640638251971902e-05,-6.041405807002508e-05,6.323438202170761e-05,2.7922352126336703e-05,1.8584741242344143e-05,1.9032234592612653e-05,4.647178419958007e-05,1.2582975063546643e-06,-1.9105731852624168e-05
2000-01-21,Utilities,-0.0008730862851394126,-0.00035742600916606893,-0.00029821943217838695,0.0009173146952811534,-0.0009601379170440931,-0.0004239672809698576,-0.00028218690805110043,-0.0002889815555115657,-0.0007056180618226035,-1.9105731852624168e-05,0.00029009752286792697
2000-01-28,Communication Services,0.001576976367835558,0.0007496827198253474,0.000774413739688072,-0.0003686232413842968,0.0013996331600686484,0.001152296317734047,0.0006926182816675832,0.0018043189204837602,0.0010853958326458564,0.00038250634053977825,-6.735155317652398e-05
2000-01-28,Consumer Discretionary,0.0007496827198253474,0.0003870905243154698,0.00043767569409207906,0.0002046472802856011,0.0005667119795064763,0.0006617744842620488,0.0003832095677679026,0.0012359133972215614,0.000460226054963611,0.0002844613864503291,0.00010263551918996959
2000-01-28,Consumer Staples,0.000774413739688072,0.00043767569409207906,0.0005377620367755028,0.000679381773518505,0.0004638641033483933,0.0008240191319532087,0.00046230471436368645,0.0017425315279034877,0.0004067139706118336,0.0004202637249771965,0.00027190131439521446
2000-01-28,Energy,-0.0003686232413842968,0.0002046472802856011,0.000679381773518505,0.004787438550737154,-0.0015481656619314489,0.0011412150793655763,0.000505678151880003,0.004258044163037024,-0.0009438046404144772,0.001180562247993867,0.0016821420626859168
2000-01-28,Financials,0.0013996331600686484,0.0005667119795064763,0.0004638641033483933,-0.0015481656619314489,0.0015593464003055158,0.0006563641463330802,0.00044134660518588265,0.00038598641788204386,0.0011425622727511515,9.657489044933773e-06,-0.0004925682066049813
2000-01-28,Health Care,0.001152296317734047,0.0006617744842620488,0.0008240191319532087,0.0011412150793655763,0.0006563641463330802,0.0012652090495701954,0.0007063964867287085,0.0027225439586661426,0.000586044168962189,0.0006605399832391706,0.000450771866500797
2000-01-28,Industrials,0.0006926182816675832,0.0003832095677679026,0.00046230471436368645,0.000505678151880003,0.00044134660518588265,0.0007063964867287085,0.00039899869885367026,0.0014570008522554168,0.00037872024762092255,0.0003483354374462436,0.0002070470865616949
2000-01-28,Information Technology,0.0018043189204837602,0.0012359133972215614,0.0017425315279034877,0.004258044163037024,0.00038598641788204386,0.0027225439586661426,0.0014570008522554168,0.006722881170564416,0.0005549308634564481,0.0017018264570505949,0.0015817297865480724
2000-01-28,Materials,0.0010853958326458564,0.000460226054963611,0.0004067139706118336,-0.0009438046404144772,0.0011425622727511515,0.000586044168962189,0.00037872024762092255,0.0005549308634564481,0.0008483493501218229,7.685324501674716e-05,-0.0002909636588717585
2000-01-28,Real Estate,0.00038250634053977825,0.0002844613864503291,0.0004202637249771965,0.001180562247993867,9.657489044933773e-06,0.0006605399832391706,0.0003483354374462436,0.0017018264570505949,7.685324501674716e-05,0.0004358430254566424,0.00043381464651128616
2000-01-28,Utilities,-6.735155317652398e-05,0.00010263551918996959,0.00027190131439521446,0.0016821420626859168,-0.0004925682066049813,0.000450771866500797,0.0002070470865616949,0.0015817297865480724,-0.0002909636588717585,0.00043381464651128616,0.0005935430387878124
2000-02-04,Communication Services,0.0018550302016156748,0.0015065498754019803,0.0009064662198219868,-5.336460355131344e-05,0.0013256463786759085,0.0013175805262379081,0.0007104873018461447,0.0026263525934780217,0.0013004735285826294,0.0003122665702480685,5.296881689370386e-05
2000-02-04,Consumer Discretionary,0.0015065498754019803,0.001506772138567099,0.000779739685425714,0.0003652085505527942,0.0008769768933949052,0.0011286170223956179,0.0005683625546135964,0.002592476248152909,0.0010296997871634878,0.00026268940901720404,0.00018674071762779488
2000-02-04,Consumer Staples,0.0009064662198219868,0.000779739685425714,0.0005459052515565593,0.0005352610492385251,0.0005026652828675217,0.0008127238939170394,0.00042737118641163874,0.001841770605317363,0.0005528418479212804,0.0003049549843258823,0.00022486131079604783
2000-02-04,Energy,-5.336460355131344e-05,0.0003652085505527942,0.0005352610492385251,0.003172512171495862,-0.0009186238549911417,0.0008745407652001465,0.00038925704956255475,0.003113099107257677,-0.0004824809959410373,0.0007859562878820215,0.00112178736912771
2000-02-04,Financials,0.0013256463786759085,0.0008769768933949052,0.0005026652828675217,-0.0009186238549911417,0.0012240416225021854,0.0007102691191752596,0.00041693499512084195,0.0009732596842860591,0.0010413910620781488,3.730875124426134e-05,-0.00027368262443819107
2000-02-04,Health Care,0.0013175805262379081,0.0011286170223956179,0.0008127238939170394,0.0008745407652001465,0.0007102691191752596,0.001213496786461798,0.0006382516513381012,0.002770506183042378,0.0007877254271929284,0.00047442035712320365,0.0003611107433652759
2000-02-04,Industrials,0.0007104873018461447,0.0005683625546135964,0.00042737118641163874,0.00038925704956255475,0.00041693499512084195,0.0006382516513381012,0.00034142391723725234,0.0014049188499580941,0.00043235973739237096,0.00024717531662258566,0.00016568892009738976
2000-02-04,Information Technology,0.0026263525934780217,0.002592476248152909,0.001841770605317363,0.003113099107257677,0.0009732596842860591,0.002770506183042378,0.0014049188499580941,0.006935093159623195,0.001400177129608157,0.0012217758742727096,0.0012043539135690596
2000-02-04,Materials,0.0013004735285826294,0.0010296997871634878,0.0005528418479212804,-0.0004824809959410373,0.0010413910620781488,0.0007877254271929284,0.00043235973739237096,0.001400177129608157,0.0009783019629532638,9.484432903893138e-05,-0.00012066545977605742
2000-02-04,Real Estate,0.0003122665702480685,0.00026268940901720404,0.0003049549843258823,0.0007859562878820215,3.730875124426134e-05,0.00047442035712320365,0.00024717531662258566,0.0012217758742727096,9.484432903893138e-05,0.0002896281184287891,0.00029092861815146
2000-02-04,Utilities,5.296881689370386e-05,0.00018674071762779488,0.00022486131079604783,0.00112178736912771,-0.00027368262443819107,0.0003611107433652759,0.00016568892009738976,0.0012043539135690596,-0.00012066545977605742,0.00029092861815146,0.00039944719239755144
2000-02-11,Communication Services,0.0014081375278703896,0.001225434970169164,0.0007059054482059131,1.236225523787184e-06,0.001140814396404913,0.001018663209316418,0.0006655883386120919,0.0018930781740534727,0.0010836825993729411,0.00027144459582795547,0.0001100230420452974
2000-02-11,Consumer Discretionary,0.001225434970169164,0.00142218766090107,0.0006784533694075315,0.00037674430405469883,0.001088425879710504,0.0009628910279192043,0.0008004110551735358,0.001804133625184923,0.0010975264660689867,0.0003049099543004106,0.00032725522412881613
2000-02-11,Consumer Staples,0.0007059054482059131,0.0006784533694075315,0.0004365761664302512,0.0004297948674100549,0.00051796249105796,0.0006421124255453714,0.000442172051310915,0.0013201841877823889,0.0005203480155801568,0.0002616216797207046,0.00022887153187154912
