,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2017-07-28,0.016567194899207653,0.01531798109096554,0.01219663256764788,0.02349519092696346,0.019703215675703403,0.015676246965072922,0.01577580831892038,0.017853076394055395,0.01652979768340581,0.01599325945018658,0.016251370901911522
2017-08-04,0.01654339072142312,0.01503360349515431,0.011987897443727014,0.023402407244130025,0.019390482397745604,0.01599243244368638,0.01550005167495651,0.017620899399686626,0.0162248986157266,0.015696096239171755,0.016075553637636672
2017-08-11,0.016752796263363824,0.015111343953119206,0.011765722501251522,0.024047730262263024,0.0199543559169439,0.015918350391851303,0.0159386646767291,0.0176179228379086,0.01676583585316426,0.015907383016031337,0.0157823872814352
2017-08-18,0.016544590243379252,0.015201538963945889,0.01154640541144891,0.02438995979466688,0.019703537943099144,0.015648719564661615,0.015852420790566157,0.01729218937168014,0.016446433483189537,0.015604552606921864,0.01565387766586986
2017-08-25,0.016234431619065414,0.01505800701522574,0.011725383919072218,0.024191231679699124,0.019349862367675722,0.015460979273102193,0.015560484270143258,0.01706029613829243,0.016230153793768253,0.015767301094520923,0.015415639524510447
2017-09-01,0.01598892886906111,0.015008108388486416,0.011501809373720324,0.024185002729795724,0.019029207703188254,0.01597856703973673,0.015601676774386725,0.017090953718162077,0.01628543516369351,0.015470341204432985,0.015251751462058061
2017-09-08,0.0160991397816832,0.014729373929285397,0.011301318253370949,0.023744082023845266,0.019516501868026684,0.015824702338622893,0.015306925935248097,0.017102607980084155,0.016055514903842757,0.015228414232722323,0.014987726641074006
2017-09-15,0.015802364266760627,0.014837875003700722,0.011285536549187552,0.024897054468188212,0.019812245006470792,0.015537106303833745,0.015314747646846772,0.017175597606250963,0.015869345794699733,0.014940758848837095,0.014797814189949299
2017-09-22,0.015590990738287196,0.014642877451082194,0.012652730342973022,0.024895300427365725,0.01985657723687819,0.015515113248282997,0.015508565729960877,0.01686335345469233,0.01567300600840053,0.015427908683433758,0.015509254284037932
2017-09-29,0.015308330903347479,0.014640242402779842,0.012522585637433055,0.024852343456550612,0.019735291664137376,0.015231188239917598,0.015232193002896797,0.01654286182392643,0.015382311895727429,0.01514203111745016,0.015239940020849477
2017-10-06,0.015137675138934046,0.014490620321104576,0.012283907664242737,0.024450804461079514,0.01943806606122994,0.015076798956841095,0.015088847755777263,0.016494072425328053,0.015242668131602771,0.014867771750390318,0.014997248912516687
2017-10-13,0.015595813202097856,0.014403429370054822,0.012265080651179408,0.02402679720990817,0.01912893281777043,0.015024525053483073,0.014803763807843009,0.01621950270729679,0.014979344102008288,0.014915491174930877,0.015235368924177883
2017-10-20,0.015311267800464424,0.01415673182000715,0.012182152684622357,0.023631839025087087,0.018889223593606896,0.015207919132361138,0.014590825775861668,0.015947638957159494,0.014719218515181797,0.0148805024667959,0.015051140576579546
2017-10-27,0.015076679568250111,0.013974158997603103,0.012064829055535372,0.023193327448011915,0.0185524862321434,0.015109854540823179,0.014458753529649418,0.01571499115190278,0.014451359143252419,0.014949514217444303,0.014765322070295961
2017-11-03,0.015395732365777664,0.013924399292769245,0.011903918234555716,0.02388040678043952,0.018210875676114933,0.014867479204492655,0.014343808517419204,0.015415527332752643,0.014188938020639771,0.01501760556695136,0.01453081201750335
2017-11-10,0.015505883679322862,0.013676943112627704,0.01239416655171116,0.023555078957793466,0.018546606431264927,0.014790027469594617,0.014344383329464642,0.015144593375202672,0.01422727075354416,0.015461589524797334,0.014255281596643554
2017-11-17,0.01532291531949535,0.013829616577655976,0.012502319702880158,0.02407692501268773,0.018249627167231098,0.014520474262078857,0.014104327934089127,0.014871959287533112,0.014021055014855253,0.015232335837438694,0.014046266626415258
2017-11-24,0.015046757278008947,0.013594903078877604,0.012268512879313215,0.023625436386338728,0.017908815312505533,0.014285127707137291,0.01399293228125119,0.014652331273308353,0.013822139552949341,0.014942350504046359,0.013806688160243328
2017-12-01,0.014938674358603792,0.014312762742629324,0.013377280679329723,0.023692169685296652,0.019369304951648767,0.014238843188141493,0.014833020744930526,0.01525149106540448,0.01358604934571998,0.014721208106530794,0.013600093024459308
2017-12-08,0.014654917176511958,0.014188913432126601,0.013221002029284737,0.02331770033946581,0.019016650085953466,0.014037024359498692,0.014641136382406508,0.01509447665079328,0.013364783437489564,0.014563193786962294,0.013604871975352421
2017-12-15,0.0149640431989667,0.013922059820352205,0.012980397225508708,0.02289749456716094,0.018770743671176263,0.013802700583295476,0.014421667055206061,0.014820050193293285,0.01311019455530263,0.014354957677671634,0.013617205163713082
2017-12-22,0.014924424009576477,0.013829602628406767,0.012750931978887341,0.02565890810865916,0.018413202970957717,0.013649550027118455,0.014265218462473422,0.014548134662033425,0.013175291480330023,0.014962653093920185,0.015635423043084403
2017-12-29,0.014978903937921681,0.013701960722363831,0.012545095038596469,0.025169824337891916,0.018142649167223246,0.013473841762604083,0.014014414310002202,0.014498320289998857,0.012935260362149599,0.01488816736443962,0.015348650862088451
2018-01-05,0.015480115853600264,0.01436575286671207,0.012314622964936791,0.025952798714173737,0.017913805214785458,0.0146103960891624,0.014106341873280451,0.016007015621845117,0.01390540161025175,0.015272582480310243,0.015842354573443018
2018-01-12,0.015789078356679878,0.01444037621564408,0.012346527777161975,0.02600555416645836,0.018069743773520677,0.014721101347659324,0.014505521170180696,0.015941805561753276,0.013643876172088239,0.016457388478462513,0.01613825847324752
2018-01-19,0.01551241073375185,0.014188825827550383,0.012726431573966477,0.02599783616473154,0.017725231814840252,0.014584058673796379,0.0143116462406094,0.015807193524641158,0.013712441210020356,0.016178029838284695,0.015835676666951456
2018-01-26,0.01590465646194399,0.013925554931628932,0.012732605771756032,0.025537406351001067,0.017566025275645332,0.015503103853666649,0.01406765885798321,0.015566783022946474,0.013515121851378837,0.016290779223474255,0.0161189108209752
2018-02-02,0.01633045097827478,0.016932685637780012,0.015522834788313905,0.02853220372439335,0.01839448945714218,0.0181141989563377,0.016062184598915757,0.017332668238531645,0.017303996228549206,0.01687312189419753,0.016570761179168707
2018-02-09,0.01876003442703282,0.018293694287619316,0.016692821659009826,0.03294296536095606,0.02161973298912949,0.021580403071708193,0.019753856664897068,0.01995159195835698,0.018975253894210568,0.01827763841219759,0.016886486479536104
2018-02-16,0.020212848395345043,0.01897737636803188,0.01763098165306419,0.03294069875102481,0.02290582162361703,0.022649370830503095,0.02132330527269857,0.02182082671301493,0.019697642504461082,0.018585059029788974,0.017673630796235767
2018-02-23,0.01982762617515092,0.01864424885123679,0.01776128684182666,0.032375381844274506,0.02247437118393961,0.022235492829618248,0.020929837438578004,0.021517365366938337,0.019492295522412134,0.01823079363061908,0.017374781969066454
2018-03-02,0.02008405686654292,0.019139955516932657,0.01754017978961677,0.03219998028205353,0.022488994251280623,0.02211271406573195,0.021623379655472355,0.021114344698663596,0.020577737170591782,0.018309181092077513,0.017916161878337097
2018-03-09,0.020443910935512892,0.019206395218053028,0.017539018993488732,0.03209281393093917,0.023775031718956053,0.02298002819955339,0.0229794689899994,0.022261511639047972,0.021162802890985315,0.019217236326280362,0.01769856504490282
2018-03-16,0.020525057083090808,0.018902360557171646,0.017564362182871565,0.03157743541426495,0.023861603872998224,0.022755806879056262,0.02278317183549307,0.021980029326870664,0.021344186867231284,0.019058527544267772,0.018107119213329744
2018-03-23,0.025421769800576328,0.020886646578583638,0.019280573973354642,0.030981977170197968,0.02698736673645497,0.025700061570481783,0.024496018021908567,0.025426782328764774,0.023484604149800123,0.020439094576150754,0.01831978342357525
2018-03-30,0.024987928062356765,0.02100081009169001,0.020272882613835738,0.03039947000712076,0.026906550988816495,0.02548811937195657,0.024291589715629194,0.02495524895598708,0.02331489786662878,0.02173961158365663,0.01919103314140896
2018-04-06,0.024646225721791325,0.020604714610270063,0.01991145412999042,0.02984916540075568,0.02675166253488445,0.025502711182548075,0.024230567434689695,0.025249279965437778,0.02300780591977948,0.021334416662028947,0.0188309402902803
2018-04-13,0.024324072846732794,0.020219725895386797,0.019531744446587684,0.032273746458460734,0.02632063086200082,0.025417946674283178,0.023881275190726428,0.025405445061058837,0.0229791244301744,0.02099483801927922,0.018651008479204437
2018-04-20,0.024150307970758785,0.01983594972339217,0.020003041957763514,0.03205327413476833,0.025977238355530962,0.024998431282523093,0.02364275612743916,0.024942277483283724,0.022862641712549456,0.020716901608676473,0.01841095780092087
2018-04-27,0.02395607735784169,0.019982421845603417,0.019858094450237465,0.031445190884191676,0.02548238458801416,0.024575328919569022,0.02401266331829309,0.024601909786537812,0.022732191158941248,0.021275667881831998,0.018958431862181317
2018-05-04,0.023615279010487152,0.019820565392370336,0.020254920396613817,0.030864888294747178,0.025468065055783744,0.024321425468218676,0.023714594432550102,0.024248440219597323,0.022299187440591804,0.02097888379572888,0.018597278230959646
2018-05-11,0.023250224726154605,0.019469592318191887,0.019898954508256215,0.030638693093772536,0.025505793502127738,0.02432380112440056,0.023994888218900876,0.02449530647892514,0.02196745763877476,0.020609768152426322,0.018676092555482093
2018-05-18,0.02283686792803482,0.01913772396531666,0.01958396574789172,0.030464442122923357,0.025027315803195838,0.023861818188670246,0.023554466105103082,0.02414951021077009,0.021867756002932046,0.021367488151786736,0.01916534716091773
2018-05-25,0.022435671022972215,0.018801426322452665,0.019357167160414475,0.03180537099993202,0.024573491436225465,0.02342008126742093,0.023105287037643942,0.02369311977258601,0.021610463726227252,0.021512817986052445,0.019692135118354628
2018-06-01,0.02200861342719315,0.01844378033706879,0.019035498598485193,0.03133515227812405,0.024216535199973434,0.022976470119011525,0.022711917833878267,0.023297190079095437,0.02123469785341503,0.02140090016855465,0.01935239482805789
2018-06-08,0.02263441986018678,0.019100013435240922,0.01924744579217208,0.030760790921089003,0.02405329274138766,0.02288994003180274,0.022560245337281987,0.022942683089967837,0.02133426151973027,0.021136618056731078,0.020011979362896226
2018-06-15,0.024102504562661577,0.018754683064249104,0.019601592991871492,0.030886333999114467,0.02385207125177381,0.02259537134212841,0.022251343490733568,0.02251162777123685,0.02105260072067558,0.02083851307311058,0.020296834947994405
2018-06-22,0.02364293444053168,0.018623459528136894,0.01927451969066672,0.030554292735885093,0.023546803864512463,0.0222608736630081,0.022555845370683184,0.02272502037279261,0.021155723925331507,0.02098854562264577,0.020311374347028493
2018-06-29,0.02358825073369759,0.018965300013546686,0.018907222194978836,0.029982722452414973,0.02380399751642809,0.02244547724519059,0.022431217282958,0.023075524721978016,0.020805744919950218,0.02064313166406922,0.020500964224352543
2018-07-06,0.02338320124704134,0.01864803986553401,0.018801496896589737,0.029416868948397994,0.02337005763923906,0.022553322878826394,0.02204080704471253,0.022941251747185164,0.020431194646200794,0.020400167758479967,0.020465130978042246
2018-07-13,0.02296888331144673,0.018329700699419003,0.018451046023739214,0.02885592988231432,0.022964026212760284,0.022238041308423783,0.021931894013159106,0.022637885688821135,0.02004163639974003,0.020107876245634742,0.02028385775784971
2018-07-20,0.02349334950418839,0.01798837556435232,0.018199007294816407,0.02853897677884648,0.02262397307479025,0.021840762909027294,0.021613250584814878,0.022220531272699233,0.019670462297714113,0.02002412060249281,0.019957455213424072
2018-07-27,0.023577495114476037,0.018045085324808464,0.017924250602264342,0.02835660077756446,0.0223169783399325,0.021424344428961174,0.021408338012771245,0.021798051113957533,0.019389348647607774,0.019684876566565455,0.019604753194863354
2018-08-03,0.02314034035859565,0.017722720145089247,0.018018082345378623,0.02809068171777175,0.021963519538268507,0.02124786065052339,0.021020858540380303,0.021423954891218226,0.01906522739821334,0.020329825907237448,0.0193482965906014
