,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Overall
2000-01-14,0.03913309873533788,-0.007088834419793437,-0.006956480647023,-0.009216168030820199,0.02852003374105371,0.04071612056799884,0.0033927608185501386,0.06709824682350539,-0.00390949141446949,0.017044157257807693,-0.006133862321313317,0.01825944568641966
2000-01-21,-0.03336039324145268,-0.03676647707847719,-0.03171806637622466,0.06694986676564132,-0.05120168270455183,0.005671332603154662,-0.02003763449782376,0.04467770789172327,-0.062498031534441764,0.015419559610716217,0.01795337591257007,-0.007722122337757519
2000-01-28,-0.026950336310280466,-0.04465841879524972,-0.053346530597717955,-0.06992723094795569,-0.010352289679826227,-0.029188860943239053,-0.03230913291702922,-0.08432267208454143,-0.03821406946866542,-0.019596052505997587,-0.030306324201137234,-0.0397895624068005
2000-02-04,0.04843890166022654,0.03950594172117658,-0.003908953978362131,0.007966020406728374,0.0165734651077018,0.042933326687813515,-0.0005903991526997863,0.10558602721634786,0.005090219081882589,0.00805660476524888,0.00015313566010718768,0.02807730620954525
2000-02-11,-0.007409368463965305,-0.050124873591791665,-0.03691295049742892,-0.014734652567393147,-0.059280778874232144,-0.0012180180016272124,-0.06045264394265774,0.045753268018686316,-0.06635542739961862,-0.008774644435867729,-0.028018260299080708,-0.02638981431393281
2000-02-18,-0.04130745891758628,-0.04918560365212926,-0.018206417322472506,0.014749331560285888,-0.034247521035987556,0.055189198315353225,0.004392469946082667,0.003564567901561514,-0.001902213210768,-0.016245610891073695,-0.02361701932342899,-0.005868767772416383
2000-02-25,-0.036035757307796235,-0.013402221029411769,-0.035354198060159894,-0.04425005681973275,-0.020028763209177312,0.022099465578457628,-0.015863267928370384,0.03607203150377644,-0.05153165924995361,0.003518904347858053,-0.058027225477686385,-0.01129545956270131
2000-03-03,0.13992550998831896,0.04617869821873593,0.01858732464949839,0.12365479994349435,0.04031002514689137,0.04196564186255546,0.020645169357147566,0.07194555089382734,0.012621867134843182,0.040566396419159094,0.011104684403830518,0.04427636384983211
2000-03-10,-0.026887462681283513,0.0011997217814506986,-0.08527130282786066,0.03930334746564101,-0.04167374546770619,-0.01902363080562444,-0.014262684394042937,0.06428515052688402,-0.021862478665520893,-0.000923309608159027,-0.030757307291231915,-0.009750321922076904
2000-03-17,-0.001243196348384812,0.12006714554713101,0.10488935353174805,0.0014336026726379015,0.1544440650872799,0.0015365233183720073,0.0886227628120602,-0.0359602758052626,0.09033876508122575,0.013457156080531062,0.07371934083272766,0.06069547762948105
2000-03-24,0.032280372629351316,0.030427578231507595,-0.004458333283117042,0.022022220510649816,0.06097895761413067,0.0006402666065042717,0.027599689926979944,0.06595505833062508,0.01873077931060769,0.006935788299889344,-0.014493766301057306,0.026310718855709677
2000-03-31,-0.00309279864569727,0.04755949089049208,0.04832266629243451,0.06888420504814062,0.02336202886303633,-0.011271701935724415,0.013787764400117246,-0.06652168144541554,0.030626098547344112,0.00015080984579324893,0.017912460807367844,0.01013752160402609
2000-04-07,-0.043971305294903194,0.002056896683159968,0.013790824531154454,-0.026908941894326972,-0.025084454051713324,0.027367968566473548,0.009965488478635964,0.051635049784029344,-0.008513432067295204,0.03243318405498622,0.004465475746950135,0.00940896251868565
2000-04-14,-0.1623519146136047,-0.07287767643967623,-0.013587606186661948,-0.012387058574915667,-0.06381061413554458,-0.07774874651505234,-0.024634316378729534,-0.24800762984645494,-0.002625300005160993,-0.0047659532455460564,0.05404024490117106,-0.06521668275492719
2000-04-21,0.048171281359271775,0.03009659672156521,0.016698250391707695,0.012144769938649613,0.04228695027716585,0.048711954085468266,0.03492619042387721,0.12906537337998578,0.006784512335801135,0.013966335376093856,0.018351808322210082,0.04306012557020393
2000-04-28,0.051782945783360054,0.00813311195432214,-0.014751564803455,0.014120217766788585,0.03467852137135443,0.02038558983998235,0.03288086904200069,0.07733392652369052,0.021946578169105037,0.03192758065832839,0.04423561880930515,0.030727206193754613
2000-05-05,-0.010624977950273663,0.0023232572489425723,0.019647310616290627,0.0508696549450637,-0.017844732914343152,0.03005668475774283,0.020877370310227638,-0.02726780390392588,0.0276032837926989,0.019894140902941008,-0.015742445327415516,0.0072267109025768985
2000-05-12,-0.024000941714100554,0.0020730550430114545,0.036234945254921616,0.04776752530490792,0.0323601027440042,-0.013873272857515724,0.0032577020419881915,-0.07616031939973887,0.004478543675122777,-0.013144099028657171,0.02785467366323124,-0.0010386234471652152
2000-05-19,-0.02291232516013243,-0.009310678274159396,-0.0035514946861572266,0.01615682461074903,0.011528258174612607,-0.0013371613475950254,-0.015257009225506797,-0.012179353366176423,0.004030291269441692,-0.009908217967013059,0.004024748684702957,-0.0037469060385096893
2000-05-26,-0.04020538565973906,-0.040022129883137234,0.011331892684578945,-0.021362820588112074,0.016491275688123343,-0.014807476596693367,-0.02304394946652385,-0.039885687313258505,-0.047994994850338306,-0.017478102382105655,0.01986419946233359,-0.016691589132466045
2000-06-02,0.12722886289283444,0.06380485009977113,0.007951468226801853,-0.0010217932174102161,0.09811422652265367,0.05894721392357926,0.049486253613816526,0.20796592412306833,0.008876531148402436,0.018650470336830375,-0.003889373629013554,0.06753153924512939
2000-06-09,-0.031078801970390424,-0.047936847236253494,-0.008908940739449835,0.013257507911017591,-0.05125124272413378,0.009949710096319602,-0.029587608387022752,-0.0047636942862336025,-0.024119755696949335,0.017494628217589642,0.005864575179904113,-0.016116919711342305
